Date,Topic,Comment
"03/11/2020, 03:22:34",['LoseWithBiden'],"RT @7458Boyz: Like And Subcribe 
Watch Now!!
https://t.co/LWxyrTorNJ

#coronavirus #COVID19 #LoseWithBiden #MichiganPrimary #Corona #remot…"
"03/10/2020, 21:45:20",['Sears Tower'],"I saw ""Sears Tower"" trending and was afraid it had either died or caught the coronavirus."
"03/11/2020, 01:01:08",['Catholics for Trump'],"As Bernie Sanders and Joe Biden scale back their campaign events amid coronavirus concerns, President Trump’s campaign announced an event next week in Milwaukee aimed at launching Catholics for Trump.
https://t.co/sfOFjXazCY"
"03/11/2020, 03:22:44",['Rask'],Defiance amid coronavirus and  other #Flyers observations from ⁦@MikeSielski⁩  https://t.co/aJdKfxebBw
"03/11/2020, 03:22:44",['Rask'],RT @PatMcLoone: Defiance amid coronavirus and other sharp observations by @mikesielski from Flyers’ 2-0 loss to the Bruins.  https://t.co/X…
"03/11/2020, 03:08:09",['Rask'],Defiance amid coronavirus and other sharp observations by @mikesielski from Flyers’ 2-0 loss to the Bruins.  https://t.co/XjayegsS9t
"03/10/2020, 22:47:53",['US Soccer'],"Italy’s coronavirus cases now exceed 10,000; at least 631 people have died - the vast majority elderly patients.

60 million Italians are on lockdown, as officials enforce social distancing from soccer games to religious services.

Here’s @sethdoane https://t.co/SsozQETTLA https://t.co/mdVtPQUDZS"
"03/10/2020, 02:03:04",['Hofstra'],"More than 20 U.S. colleges have canceled in-person classes due to the coronavirus — including Columbia, Stanford, Hofstra University, USC and a handful of community colleges in Washington state.
https://t.co/TzBLYjH9zz"
"03/09/2020, 02:46:05",['Hofstra'],"In an abundance of caution, Hofstra University is cancelling in-person classes for the upcoming week, beginning on Monday 3/9, as a precautionary measure in light of continuing public health concerns related to COVID-19. More information: https://t.co/cPnt7QYKN9"
"03/11/2020, 03:22:44",['SkyForTaehyung'],"May Alcohol PANIC BUYING din ba sa Davao City? 
https://t.co/DU23TikO3A
 #COVID2019 #CoronaVirusUpdate 
#SkyForTaehyung https://t.co/E7DraOM8vE"
"03/10/2020, 20:59:10",['CloseTheSchools'],"Uh, herein lies the absurdity of #CloseTheSchools ...

You know to reopen the schools when the roads are clear of the snow, with coronavirus, once you close them, there will NEVER be an obviously safe time to reopen them!!!!

Please think this through people!!! https://t.co/KvSxRdAONM"
"03/11/2020, 00:45:33",['CloseTheSchools'],"The hashtags ️ #CUNY, #SUNY, and #CloseTheSchools were trending over concerns about the #coronavirus.

Here’s why...

Watch: https://t.co/HbPcDSIBj6 via @NBCNewYork https://t.co/PDcYt3Q1h4"
"03/11/2020, 00:39:33",['CloseTheSchools'],#mustread : Vital info and guidance for parents and teachers about how best to prepare and plan in the event of temporary school closures #COVID19#coronavirus #CloseTheSchools @WHO @UNICEF @ifrc https://t.co/bmwJNe1z5R
